NSPID,volume,psc,px,py,pz
S1190,312.0,0.88720436096191402,40.0,-82.0,-6.0
S1191,232.0,0.91760566711425784,32.0,-88.0,-6.0
S1193,1232.0,1.0896051788330079,38.0,-90.0,-6.0
S1195,0.0,nan,nan,nan,nan
S1196,768.0,0.94591758728027342,34.0,-88.0,2.0
S1197,3912.0,1.2050916290283202,30.0,-80.0,4.0
S1199,0.0,nan,nan,nan,nan
S1200,72.0,1.3879878234863281,32.0,-88.0,-4.0
S1201,512.0,0.77869270324707029,28.0,-84.0,-10.0
S1202,952.0,1.1344769287109375,32.0,-84.0,2.0
S1203,0.0,nan,nan,nan,nan
S1204,1296.0,1.1465827178955079,40.0,-84.0,0.0
S1205,208.0,0.92578865051269532,38.0,-86.0,-6.0
S1206,832.0,1.1424914550781251,40.0,-80.0,2.0
S1207,0.0,nan,nan,nan,nan
S1208,280.0,0.81211891174316408,34.0,-94.0,0.0
S1209,0.0,nan,nan,nan,nan
S1210,1128.0,1.0768793487548829,36.0,-82.0,4.0
S1211,2184.0,1.2587812042236328,34.0,-86.0,-4.0
S1212,448.0,1.1506739807128907,40.0,-86.0,2.0
S1213,1528.0,1.3415902709960938,32.0,-88.0,0.0
S1214,0.0,nan,nan,nan,nan
S1215,1112.0,0.84962768554687496,32.0,-90.0,-4.0
S1216,1568.0,1.0896334075927734,40.0,-84.0,6.0
S1217,3504.0,1.4372883605957032,42.0,-82.0,2.0
S1219,0.0,nan,nan,nan,nan
S1220,0.0,nan,nan,nan,nan
S1222,3232.0,1.1994821929931641,34.0,-86.0,-2.0
S1223,0.0,nan,nan,nan,nan
S1225,1960.0,1.2597488403320312,28.0,-88.0,2.0
S1226,696.0,1.2991439819335937,30.0,-80.0,8.0
S1227,0.0,nan,nan,nan,nan
S1228,200.0,1.7290458679199219,34.0,-88.0,-4.0
S1229,0.0,nan,nan,nan,nan
S1230,992.0,1.3666432189941407,34.0,-90.0,-4.0
S1231,1880.0,0.83322647094726565,48.0,-82.0,-4.0
S1233,3160.0,1.3972988891601563,48.0,-84.0,-6.0
S1234,0.0,nan,nan,nan,nan
S1235,0.0,nan,nan,nan,nan
S1237,632.0,1.1218048858642578,30.0,-90.0,-4.0
S1238,0.0,nan,nan,nan,nan
S1239,1168.0,0.67007453918457027,34.0,-94.0,-10.0
S1240,0.0,nan,nan,nan,nan
S1242,0.0,nan,nan,nan,nan
S1243,0.0,nan,nan,nan,nan
S1245,0.0,nan,nan,nan,nan
S1246,2160.0,1.0710350036621095,28.0,-88.0,6.0
S1247,0.0,nan,nan,nan,nan
S1248,0.0,nan,nan,nan,nan
S1249,120.0,1.3028045654296876,28.0,-88.0,4.0
S1250,3352.0,1.2848031616210938,36.0,-94.0,-6.0
S1251,2544.0,1.2917240905761718,38.0,-84.0,0.0
S1252,2008.0,1.0070894622802735,32.0,-82.0,0.0
S1253,0.0,nan,nan,nan,nan
S1254,3288.0,1.5722650146484376,36.0,-88.0,-6.0
S1255,0.0,nan,nan,nan,nan
S1256,0.0,nan,nan,nan,nan
S1257,0.0,nan,nan,nan,nan
S1258,0.0,nan,nan,nan,nan
S1259,424.0,1.1518627166748048,40.0,-86.0,0.0
S1260,0.0,nan,nan,nan,nan
S1261,6160.0,1.275405731201172,44.0,-80.0,0.0
S1262,328.0,1.2319488525390625,38.0,-92.0,4.0
S1263,424.0,0.98805946350097651,30.0,-90.0,0.0
S1265,344.0,0.91391555786132816,46.0,-84.0,-4.0
S1267,0.0,nan,nan,nan,nan
S1268,2872.0,1.0816178131103515,38.0,-88.0,-6.0
S1269,0.0,nan,nan,nan,nan
S1270,0.0,nan,nan,nan,nan
S1271,1560.0,1.1056649017333984,38.0,-90.0,-6.0
S1272,2736.0,1.5881188964843751,36.0,-76.0,0.0
S1273,0.0,nan,nan,nan,nan
S1275,880.0,1.3453573608398437,32.0,-90.0,-6.0
S1276,3968.0,1.3136370849609376,40.0,-88.0,-2.0
S1277,1024.0,1.0537099456787109,32.0,-84.0,-2.0
S1280,1448.0,0.91075286865234373,42.0,-84.0,6.0
S1281,2040.0,0.95163619995117188,32.0,-84.0,-2.0
S1283,0.0,nan,nan,nan,nan
S1284,672.0,1.1545938110351563,30.0,-90.0,-8.0
S1285,5152.0,1.6832054138183594,48.0,-86.0,-6.0
S1286,0.0,nan,nan,nan,nan
S1287,720.0,1.2273375701904297,38.0,-82.0,0.0
S1288,0.0,nan,nan,nan,nan
S1290,168.0,0.92900695800781252,36.0,-92.0,2.0
S1291,4216.0,1.1090640258789062,32.0,-84.0,-4.0
S1292,4368.0,1.171769256591797,34.0,-80.0,2.0
S1293,1048.0,1.2621501922607421,30.0,-98.0,-4.0
S1294,2104.0,1.1578852081298827,38.0,-84.0,-2.0
S1296,8.0,0.73021987915039066,28.0,-84.0,2.0
S1297,504.0,1.2404073333740235,30.0,-88.0,-6.0
S1298,0.0,nan,nan,nan,nan
S1300,3680.0,0.95142578124999999,34.0,-88.0,0.0
S1301,48.0,1.230416030883789,34.0,-86.0,0.0
S1303,64.0,0.72618400573730468,32.0,-80.0,0.0
S1304,1232.0,1.2344741821289062,46.0,-88.0,10.0
S1305,1392.0,1.0800262451171876,34.0,-78.0,2.0
S1306,0.0,nan,nan,nan,nan
S1307,256.0,0.89241630554199214,30.0,-88.0,6.0
S1308,1288.0,1.4447952270507813,36.0,-94.0,4.0
S1309,0.0,nan,nan,nan,nan
S1310,520.0,0.84360969543457032,36.0,-84.0,-4.0
S1311,5168.0,1.1041743469238281,36.0,-82.0,-4.0
S1312,504.0,1.3527439880371093,48.0,-88.0,-6.0
S1313,1672.0,1.5897633361816406,32.0,-92.0,-6.0
S1314,0.0,nan,nan,nan,nan
S1315,0.0,nan,nan,nan,nan
S1317,0.0,nan,nan,nan,nan
S1318,0.0,nan,nan,nan,nan
S1319,0.0,nan,nan,nan,nan
S1320,560.0,1.1810489654541017,30.0,-92.0,-2.0
S1322,256.0,0.64877853393554685,34.0,-82.0,2.0
S1323,992.0,1.220097427368164,30.0,-90.0,-6.0
S1324,3232.0,1.2796778106689453,36.0,-76.0,0.0
S1325,0.0,nan,nan,nan,nan
S1326,272.0,1.2310131835937499,34.0,-88.0,-2.0
S1328,1512.0,1.0622394561767579,34.0,-86.0,10.0
S1337,1152.0,1.1461431121826171,32.0,-86.0,-2.0
S1338,0.0,nan,nan,nan,nan
S1339,696.0,1.0895901489257813,36.0,-86.0,-6.0
S1341,3256.0,1.3412055969238281,32.0,-90.0,2.0
S1343,0.0,nan,nan,nan,nan
S1344,0.0,nan,nan,nan,nan
S1346,4032.0,1.1728199005126954,46.0,-88.0,-4.0
S1348,8448.0,1.4879602050781251,26.0,-90.0,6.0
S1349,0.0,nan,nan,nan,nan
S1350,536.0,0.71686988830566412,34.0,-82.0,-2.0
S1351,368.0,1.0911590576171875,36.0,-82.0,-6.0
S1352,0.0,nan,nan,nan,nan
S1353,656.0,1.3195677185058594,38.0,-92.0,0.0
S1354,0.0,nan,nan,nan,nan
S1355,1648.0,1.1195258331298827,30.0,-92.0,-8.0
S1356,4856.0,0.91762527465820309,32.0,-82.0,4.0
S1357,552.0,1.4047978210449219,32.0,-76.0,4.0
S1358,2720.0,1.6509617614746093,30.0,-90.0,0.0
S1359,2672.0,1.2003776550292968,36.0,-84.0,0.0
S1360,2888.0,0.99396728515624999,36.0,-86.0,-4.0
