NSPID,volume,psc,px,py,pz
S1040,3136.0,1.3868315124511719,-44.0,-82.0,12.0
S1041,2504.0,1.0964128875732422,-40.0,-62.0,2.0
S1043,1744.0,1.0456609344482422,-46.0,-74.0,10.0
S1044,3568.0,1.6038758850097656,-38.0,-72.0,14.0
S1045,2096.0,1.216910400390625,-42.0,-68.0,8.0
S1046,1616.0,0.98174514770507815,-46.0,-82.0,4.0
S1049,1736.0,1.2180598449707032,-46.0,-72.0,12.0
S1050,2392.0,1.2194864654541016,-40.0,-70.0,8.0
S1052,5080.0,1.6718055725097656,-50.0,-70.0,16.0
S1053,392.0,1.5197520446777344,-48.0,-70.0,-2.0
S1055,544.0,1.1620918273925782,-48.0,-70.0,-2.0
S1056,0.0,nan,nan,nan,nan
S1058,1376.0,1.3610037231445313,-44.0,-72.0,6.0
S1059,1640.0,1.203872528076172,-50.0,-76.0,8.0
S1060,4320.0,1.5456793212890625,-48.0,-76.0,6.0
S1061,2392.0,1.2539238739013672,-44.0,-76.0,6.0
S1064,2512.0,1.3885586547851563,-46.0,-80.0,8.0
S1065,2904.0,1.6658927917480468,-44.0,-72.0,2.0
S1066,6040.0,1.2270364379882812,-40.0,-82.0,2.0
S1067,5040.0,1.4828952026367188,-48.0,-64.0,8.0
S1068,2520.0,1.2697981262207032,-36.0,-72.0,6.0
S1069,672.0,1.1754105377197266,-40.0,-76.0,4.0
S1070,9032.0,1.2387987518310546,-40.0,-72.0,6.0
S1071,584.0,1.3857028198242187,-44.0,-70.0,4.0
S1072,592.0,0.759730224609375,-56.0,-68.0,6.0
S1073,648.0,1.1107687377929687,-38.0,-70.0,-6.0
S1074,5808.0,1.1544222259521484,-50.0,-70.0,2.0
S1075,14024.0,1.607681121826172,-38.0,-62.0,12.0
S1076,2256.0,1.7224052429199219,-42.0,-72.0,2.0
S1077,2416.0,1.0586744689941405,-44.0,-82.0,10.0
S1078,696.0,1.1507480621337891,-48.0,-72.0,-4.0
S1079,1480.0,1.5436686706542968,-48.0,-72.0,6.0
S1082,5592.0,1.9398715209960937,-46.0,-72.0,4.0
S1086,1224.0,1.3068156433105469,-46.0,-76.0,-6.0
S1087,4592.0,1.2020644378662109,-48.0,-72.0,0.0
S1088,0.0,nan,nan,nan,nan
S1089,1984.0,0.89732032775878912,-48.0,-82.0,0.0
S1090,2256.0,1.2727331542968749,-48.0,-74.0,2.0
S1091,0.0,nan,nan,nan,nan
S1092,2056.0,1.279548110961914,-50.0,-58.0,10.0
S1094,3440.0,1.2297398376464843,-48.0,-68.0,2.0
S1095,4936.0,1.2139459991455077,-42.0,-78.0,4.0
S1096,1608.0,0.75886039733886723,-50.0,-74.0,6.0
S1097,5744.0,1.3445030212402345,-42.0,-68.0,4.0
S1098,2856.0,1.4246383666992188,-46.0,-74.0,6.0
S1099,5840.0,1.4340322875976563,-50.0,-78.0,4.0
S1100,1384.0,0.98499504089355472,-40.0,-74.0,4.0
S1103,2456.0,1.0290746307373047,-40.0,-76.0,6.0
S1104,1920.0,1.4087571716308593,-40.0,-72.0,2.0
S1105,2624.0,1.2016041564941407,-38.0,-66.0,0.0
S1106,1536.0,1.2639004516601562,-42.0,-78.0,2.0
S1107,1432.0,1.3098941040039063,-42.0,-72.0,-6.0
S1108,6656.0,1.4911782836914063,-40.0,-68.0,6.0
S1109,208.0,1.1238867950439453,-46.0,-76.0,8.0
S1110,3976.0,1.2116868591308594,-46.0,-80.0,4.0
S1111,5544.0,1.1744769287109376,-48.0,-72.0,8.0
S1112,4576.0,1.2499154663085938,-48.0,-74.0,6.0
S1113,2352.0,1.5405422973632812,-40.0,-68.0,6.0
S1116,2984.0,1.0443742370605469,-38.0,-74.0,4.0
S1118,1160.0,1.1864660644531251,-48.0,-66.0,12.0
S1119,2520.0,1.32778076171875,-44.0,-78.0,0.0
S1120,2736.0,1.4958930969238282,-40.0,-74.0,2.0
S1121,2760.0,1.4648231506347655,-48.0,-64.0,10.0
S1122,2472.0,1.0422249603271485,-40.0,-68.0,6.0
S1124,4216.0,1.3030226135253906,-42.0,-74.0,0.0
S1125,3672.0,1.5607162475585938,-40.0,-68.0,6.0
S1126,2936.0,1.7827496337890625,-48.0,-72.0,2.0
S1127,2776.0,1.0237557220458984,-38.0,-66.0,4.0
S1129,928.0,1.2190201568603516,-42.0,-70.0,8.0
S1130,2280.0,1.4429220581054687,-48.0,-68.0,-2.0
S1131,2560.0,1.3098854064941405,-40.0,-74.0,4.0
S1132,2024.0,1.83989501953125,-42.0,-76.0,16.0
S1133,4192.0,1.2408885955810547,-42.0,-76.0,8.0
S1134,3416.0,1.3617434692382813,-48.0,-76.0,6.0
S1135,3024.0,1.1284555053710938,-40.0,-68.0,8.0
S1136,1600.0,1.4423786926269531,-40.0,-76.0,4.0
S1138,920.0,1.4715597534179687,-42.0,-60.0,8.0
S1139,336.0,0.97340400695800777,-40.0,-60.0,0.0
S1140,2024.0,1.8013008117675782,-42.0,-72.0,8.0
S1141,4280.0,1.200419921875,-38.0,-72.0,2.0
S1143,7264.0,1.2567997741699219,-44.0,-72.0,2.0
S1144,2632.0,1.4239733886718751,-46.0,-66.0,16.0
S1146,544.0,1.1826535034179688,-46.0,-72.0,0.0
S1148,5832.0,1.1806327056884767,-48.0,-70.0,4.0
S1149,2776.0,1.3332257080078125,-46.0,-70.0,0.0
S1151,0.0,nan,nan,nan,nan
S1152,7192.0,1.0412574768066407,-58.0,-58.0,0.0
S1153,7632.0,1.1475696563720703,-40.0,-64.0,4.0
S1154,5872.0,1.0226068878173828,-38.0,-68.0,4.0
S1155,3752.0,1.32930419921875,-40.0,-74.0,2.0
S1156,5200.0,1.3704722595214844,-38.0,-70.0,6.0
S1157,760.0,1.5641197204589843,-44.0,-64.0,4.0
S1158,3048.0,1.3936715698242188,-48.0,-74.0,4.0
S1159,2704.0,1.7999331665039062,-44.0,-70.0,6.0
S1161,1760.0,1.3350340270996093,-48.0,-68.0,-2.0
S1162,7664.0,1.2058441925048828,-46.0,-66.0,8.0
S1163,3592.0,1.3074980163574219,-40.0,-72.0,6.0
S1164,4840.0,1.1169745635986328,-42.0,-78.0,4.0
S1165,808.0,0.91746887207031247,-42.0,-68.0,8.0
S1166,1608.0,1.3801425170898438,-44.0,-74.0,-4.0
S1167,5960.0,1.5593251037597655,-54.0,-72.0,6.0
S1168,4352.0,1.2901779174804688,-48.0,-62.0,16.0
S1169,1168.0,0.96060745239257816,-46.0,-68.0,4.0
S1171,0.0,nan,nan,nan,nan
S1173,112.0,1.1934375762939453,-38.0,-72.0,6.0
S1174,2344.0,1.2404159545898437,-46.0,-74.0,4.0
S1175,0.0,nan,nan,nan,nan
S1176,416.0,1.1227178192138672,-40.0,-62.0,2.0
S1177,4400.0,1.5142066955566407,-44.0,-74.0,4.0
S1178,424.0,0.98832298278808595,-38.0,-70.0,6.0
S1179,920.0,1.2133162689208985,-52.0,-66.0,10.0
S1180,5392.0,1.1977240753173828,-44.0,-74.0,4.0
S1181,3800.0,1.0400231933593751,-48.0,-76.0,0.0
S1182,2696.0,1.6207553100585939,-42.0,-70.0,6.0
S1183,8776.0,0.97422363281250002,-50.0,-72.0,12.0
